Date,Sequence Number,Service Provider Name,Location,Type,Service Class,Discount Sum,Amount,Balance
11/10/2023 2:02:53 pm,1267,Toronto Transit Commission,0,Transit Pass Payment,Regular,0,0,0
11/10/2023 1:40:07 pm,1266,Toronto Transit Commission,SHEP,Transit Pass Payment,Regular,0,3.3,0
11/09/2023 3:02:32 pm,1265,Toronto Transit Commission,Yonge St At Churchill Ave,Transit Pass Payment,Regular,0,0,0
11/09/2023 2:17:18 pm,1264,Toronto Transit Commission,Yonge St At Sheppard Ave East North Side (Sheppard Station),Transit Pass Payment,Regular,0,3.3,0
11/08/2023 1:37:03 pm,1263,Toronto Transit Commission,Yonge St At Ellerslie Ave,Transit Pass Payment,Regular,0,0,0
11/08/2023 12:55:29 pm,1262,Toronto Transit Commission,Yonge St At Sheppard Ave East North Side (Sheppard Station),Transit Pass Payment,Regular,0,3.3,0
11/07/2023 11:32:28 pm,1261,Toronto Transit Commission,RNMEDE,Transit Pass Payment,Regular,0,0,0
11/07/2023 11:28:15 pm,1260,Toronto Transit Commission,Runnymede Rd At Dundas St West,Transit Pass Payment,Regular,0,3.3,0
11/07/2023 10:01:58 pm,1259,Toronto Transit Commission,RNMEDE,Transit Pass Payment,Regular,0,0,0
11/07/2023 9:17:47 pm,1258,Toronto Transit Commission,SHEP,Transit Pass Payment,Regular,0,3.3,0
11/06/2023 1:39:30 pm,1257,Toronto Transit Commission,Yonge St At Churchill Ave,Transit Pass Payment,Regular,0,0,0
11/06/2023 1:21:51 pm,1256,Toronto Transit Commission,Yonge St At Sheppard Ave East North Side (Sheppard Station),Transit Pass Payment,Regular,0,3.3,0
11/05/2023 8:58:31 pm,1255,Toronto Transit Commission,FINCH,Transit Pass Payment,Regular,0,0,0
11/05/2023 8:28:27 pm,1254,Toronto Transit Commission,Yonge St At Orchard View Blvd,Transit Pass Payment,Regular,0,3.3,0
11/05/2023 4:59:01 pm,1253,Toronto Transit Commission,STCLR,Transit Pass Payment,Regular,0,3.3,0
11/05/2023 1:21:45 pm,1252,Toronto Transit Commission,0,Transit Pass Payment,Regular,0,3.3,0
11/05/2023 1:05:58 am,1251,Toronto Transit Commission,BATH,Transit Pass Payment,Regular,0,3.3,0
11/04/2023 7:29:42 pm,1250,Toronto Transit Commission,14770,Transit Pass Payment,Regular,0,3.3,0
11/04/2023 3:15:09 pm,1249,Toronto Transit Commission,OSGOOD,Transit Pass Payment,Regular,0,3.3,0
11/04/2023 12:34:31 pm,1248,Toronto Transit Commission,0,Transit Pass Payment,Regular,0,3.3,0
11/02/2023 8:28:06 pm,1247,Toronto Transit Commission,Spadina Ave At Queen St West North Side,Transit Pass Payment,Regular,0,3.3,0
11/02/2023 7:22:58 pm,1246,Toronto Transit Commission,CHRIS,Transit Pass Payment,Regular,0,0,0
11/02/2023 5:51:08 pm,1245,Toronto Transit Commission,SHEP,Transit Pass Payment,Regular,0,3.3,0
11/02/2023 3:03:15 pm,1244,Toronto Transit Commission,Yonge St At Churchill Ave,Transit Pass Payment,Regular,0,0,0
11/02/2023 2:14:59 pm,1243,Toronto Transit Commission,Yonge St At Sheppard Ave East North Side (Sheppard Station),Transit Pass Payment,Regular,0,3.3,0
